n,trim,estimate,top,bot,coef,lab
60695,Children,RRC,0.03,0.03,0.258014650300259,0.258
60696,Second stage,RRC,0.05,0.01,0.282767538295103,0.283
60696,Second stage,RRC,0.04,0.02,0.28426957332427,0.284
60696,Second stage,RRC,0.02,0.04,0.293157309174082,0.293
60696,Second stage,RRC,0.01,0.05,0.296502500626217,0.297
60696,Children,RRC,0.05,0.01,0.251134189784913,0.251
60696,Children,RRC,0.04,0.02,0.254000753951252,0.254
60696,Children,RRC,0.02,0.04,0.261338737421038,0.261
60696,Children,RRC,0.01,0.05,0.265319917481358,0.265
61302,Second stage,IGE,0.05,0,0.524790986053733,0.525
61302,Second stage,IGE,0.04,0.01,0.537360645043196,0.537
61302,Children,IGE,0.04,0.01,0.368373806976329,0.368
61302,Children,IGE,0.01,0.04,0.34382581287794,0.344
61303,Second stage,IGE,0.03,0.02,0.546475074649486,0.546
61303,Second stage,IGE,0.02,0.03,0.559953652060915,0.56
61303,Second stage,IGE,0.01,0.04,0.562979971800518,0.563
61303,Children,IGE,0.05,0,0.430971719877503,0.431
61303,Children,IGE,0.03,0.02,0.346854893033107,0.347
61303,Children,IGE,0.02,0.03,0.339684441037729,0.34
61303,Children,IGE,0,0.05,0.369716934473516,0.37
61305,Second stage,IGE,0,0.05,0.557408457910109,0.557
61341,Second stage,RRC,0.03,0.02,0.287786766467935,0.288
61341,Second stage,RRC,0.02,0.03,0.29338943797156,0.293
61341,Children,RRC,0.03,0.02,0.263263235199531,0.263
61341,Children,RRC,0.02,0.03,0.266455795382246,0.266
61342,Second stage,RRC,0.05,0,0.28515259406825,0.285
61342,Second stage,RRC,0.04,0.01,0.285132148875007,0.285
61342,Second stage,RRC,0.01,0.04,0.297395297136141,0.297
61342,Second stage,RRC,0,0.05,0.30176634066759,0.302
61342,Children,RRC,0.05,0,0.257126323478213,0.257
61342,Children,RRC,0.04,0.01,0.259384472968629,0.259
61342,Children,RRC,0.01,0.04,0.269873819409414,0.27
61342,Children,RRC,0,0.05,0.276984195567936,0.277
61947,Second stage,IGE,0.03,0.01,0.538883285321682,0.539
61948,Second stage,IGE,0.04,0,0.52407376526871,0.524
61948,Second stage,IGE,0.01,0.03,0.558386634406871,0.558
61948,Children,IGE,0.04,0,0.443176755433839,0.443
61948,Children,IGE,0.03,0.01,0.383476287046326,0.383
61948,Children,IGE,0.02,0.02,0.362425539846299,0.362
61948,Children,IGE,0.01,0.03,0.359177813438003,0.359
61948,Children,IGE,0,0.04,0.38122096888297,0.381
61949,Second stage,IGE,0.02,0.02,0.54857452603024,0.549
61949,Second stage,IGE,0,0.04,0.558711324911942,0.559
61987,Second stage,RRC,0.03,0.01,0.288559983057875,0.289
61987,Second stage,RRC,0.02,0.02,0.291983489508201,0.292
61987,Second stage,RRC,0.01,0.03,0.297536444427312,0.298
61987,Children,RRC,0.03,0.01,0.268649684784679,0.269
61987,Children,RRC,0.02,0.02,0.271713053513316,0.272
61987,Children,RRC,0.01,0.03,0.275002485395404,0.275
61988,Second stage,RRC,0.04,0,0.287423670524487,0.287
61988,Second stage,RRC,0,0.04,0.302531062590327,0.303
61988,Children,RRC,0.04,0,0.265382971336858,0.265
61988,Children,RRC,0,0.04,0.281549490406967,0.282
62593,Second stage,IGE,0.03,0,0.525980250574317,0.526
62593,Second stage,IGE,0.02,0.01,0.541186851554677,0.541
62593,Children,IGE,0.02,0.01,0.398906575243882,0.399
62593,Children,IGE,0.01,0.02,0.381736888762994,0.382
62594,Second stage,IGE,0.01,0.02,0.547704718835713,0.548
62594,Second stage,IGE,0,0.03,0.554594368416763,0.555
62594,Children,IGE,0.03,0,0.457928995429674,0.458
62594,Children,IGE,0,0.03,0.396354027199409,0.396
62633,Second stage,RRC,0.03,0,0.290737949279482,0.291
62633,Second stage,RRC,0.02,0.01,0.292655790496852,0.293
62633,Second stage,RRC,0.01,0.02,0.296078968920474,0.296
62633,Second stage,RRC,0,0.03,0.302564703253146,0.303
62633,Children,RRC,0.03,0,0.27464405237563,0.275
62633,Children,RRC,0.02,0.01,0.27710951860675,0.277
62633,Children,RRC,0.01,0.02,0.280269518309262,0.28
62633,Children,RRC,0,0.03,0.286672545626024,0.287
63238,Second stage,IGE,0.01,0.01,0.540757610959282,0.541
63238,Children,IGE,0.01,0.01,0.418017436376374,0.418
63239,Second stage,IGE,0.02,0,0.52863846301757,0.529
63239,Children,IGE,0.02,0,0.472993253823922,0.473
63239,Children,IGE,0,0.02,0.418582819677347,0.419
63240,Second stage,IGE,0,0.02,0.54481732124866,0.545
63279,Second stage,RRC,0.02,0,0.294711096553841,0.295
63279,Second stage,RRC,0.01,0.01,0.296655017673193,0.297
63279,Second stage,RRC,0,0.02,0.301035298276706,0.301
63279,Children,RRC,0.02,0,0.283111024551616,0.283
63279,Children,RRC,0.01,0.01,0.285671744396469,0.286
63279,Children,RRC,0,0.02,0.29193713686025,0.292
63884,Second stage,IGE,0.01,0,0.528846979867159,0.529
63884,Second stage,IGE,0,0.01,0.538496636420463,0.538
63884,Children,IGE,0.01,0,0.491599435273589,0.492
63884,Children,IGE,0,0.01,0.454547743161561,0.455
63925,Second stage,RRC,0.01,0,0.29858760657828,0.299
63925,Second stage,RRC,0,0.01,0.301499539357582,0.301
63925,Children,RRC,0.01,0,0.29167189104423,0.292
63925,Children,RRC,0,0.01,0.297326112379644,0.297
64530,First stage,IGE,0,0,0.527499342222814,0.527
64530,First stage,IGE,0.01,0,0.540256835881111,0.54
64530,First stage,IGE,0.02,0,0.548451722972875,0.548
64530,First stage,IGE,0.03,0,0.555320145768694,0.555
64530,First stage,IGE,0.04,0,0.561110513083323,0.561
64530,First stage,IGE,0.05,0,0.56864098584678,0.569
64530,First stage,IGE,0.1,0,0.594732470261978,0.595
64530,First stage,IGE,0,0.01,0.552879123276506,0.553
64530,First stage,IGE,0.01,0.01,0.567951537500034,0.568
64530,First stage,IGE,0.02,0.01,0.577769612642694,0.578
64530,First stage,IGE,0.03,0.01,0.586000671138102,0.586
64530,First stage,IGE,0.04,0.01,0.592885318212693,0.593
64530,First stage,IGE,0.05,0.01,0.601488800743129,0.601
64530,First stage,IGE,0.1,0.01,0.634660714231235,0.635
64530,First stage,IGE,0,0.02,0.571611572988279,0.572
64530,First stage,IGE,0.01,0.02,0.58854172213802,0.589
64530,First stage,IGE,0.02,0.02,0.599791786823417,0.6
64530,First stage,IGE,0.03,0.02,0.609103316729717,0.609
64530,First stage,IGE,0.04,0.02,0.616952353101538,0.617
64530,First stage,IGE,0.05,0.02,0.626531974270003,0.627
64530,First stage,IGE,0.1,0.02,0.664259625247285,0.664
64530,First stage,IGE,0,0.03,0.587255657265693,0.587
64530,First stage,IGE,0.01,0.03,0.605612195404522,0.606
64530,First stage,IGE,0.02,0.03,0.617954792315891,0.618
64530,First stage,IGE,0.03,0.03,0.628117518726402,0.628
64530,First stage,IGE,0.04,0.03,0.636742179868906,0.637
64530,First stage,IGE,0.05,0.03,0.6471151372942,0.647
64530,First stage,IGE,0.1,0.03,0.688174087148455,0.688
64530,First stage,IGE,0,0.04,0.603487307073186,0.603
64530,First stage,IGE,0.01,0.04,0.623482896098487,0.623
64530,First stage,IGE,0.02,0.04,0.636862181747199,0.637
64530,First stage,IGE,0.03,0.04,0.647907082500523,0.648
64530,First stage,IGE,0.04,0.04,0.657345926853872,0.657
64530,First stage,IGE,0.05,0.04,0.668578646505661,0.669
64530,First stage,IGE,0.1,0.04,0.713362632453456,0.713
64530,First stage,IGE,0,0.05,0.617827655122541,0.618
64530,First stage,IGE,0.01,0.05,0.639373053722463,0.639
64530,First stage,IGE,0.02,0.05,0.653899474489575,0.654
64530,First stage,IGE,0.03,0.05,0.665795073744225,0.666
64530,First stage,IGE,0.04,0.05,0.676024135889929,0.676
64530,First stage,IGE,0.05,0.05,0.688047151877819,0.688
64530,First stage,IGE,0.1,0.05,0.736222846422888,0.736
64530,First stage,IGE,0,0.1,0.678050089400599,0.678
64530,First stage,IGE,0.01,0.1,0.706520616978878,0.707
64530,First stage,IGE,0.02,0.1,0.725946178084136,0.726
64530,First stage,IGE,0.03,0.1,0.741695633181002,0.742
64530,First stage,IGE,0.04,0.1,0.755452313634586,0.755
64530,First stage,IGE,0.05,0.1,0.771163715085979,0.771
64530,First stage,IGE,0.1,0.1,0.834126160842988,0.834
64530,Second stage,IGE,0,0,0.527499342222814,0.527
64530,Children,IGE,0,0,0.527499342222814,0.527
64571,First stage,RRC,0,0,0.303296992323333,0.303
64571,First stage,RRC,0.01,0,0.301644930722338,0.302
64571,First stage,RRC,0.02,0,0.300145323636455,0.3
64571,First stage,RRC,0.03,0,0.298830383445089,0.299
64571,First stage,RRC,0.04,0,0.297489667955559,0.297
64571,First stage,RRC,0.05,0,0.296640952614369,0.297
64571,First stage,RRC,0.1,0,0.28762753448948,0.288
64571,First stage,RRC,0,0.01,0.30774546450118,0.308
64571,First stage,RRC,0.01,0.01,0.306200850490896,0.306
64571,First stage,RRC,0.02,0.01,0.305052385076297,0.305
64571,First stage,RRC,0.03,0.01,0.303862331519261,0.304
64571,First stage,RRC,0.04,0.01,0.302742156488788,0.303
64571,First stage,RRC,0.05,0.01,0.302081639316074,0.302
64571,First stage,RRC,0.1,0.01,0.29523331344657,0.295
64571,First stage,RRC,0,0.02,0.309460564382387,0.309
64571,First stage,RRC,0.01,0.02,0.308115137600928,0.308
64571,First stage,RRC,0.02,0.02,0.306983436965821,0.307
64571,First stage,RRC,0.03,0.02,0.305916095787814,0.306
64571,First stage,RRC,0.04,0.02,0.304899978679418,0.305
64571,First stage,RRC,0.05,0.02,0.304292683463997,0.304
64571,First stage,RRC,0.1,0.02,0.298008002244238,0.298
64571,First stage,RRC,0,0.03,0.309700616817988,0.31
64571,First stage,RRC,0.01,0.03,0.308350485502148,0.308
64571,First stage,RRC,0.02,0.03,0.307329550223967,0.307
64571,First stage,RRC,0.03,0.03,0.306157780479017,0.306
64571,First stage,RRC,0.04,0.03,0.3052374874147,0.305
64571,First stage,RRC,0.05,0.03,0.304685255927796,0.305
64571,First stage,RRC,0.1,0.03,0.298410021333256,0.298
64571,First stage,RRC,0,0.04,0.310267061261927,0.31
64571,First stage,RRC,0.01,0.04,0.309097191399672,0.309
64571,First stage,RRC,0.02,0.04,0.308169838045468,0.308
64571,First stage,RRC,0.03,0.04,0.306966124378029,0.307
64571,First stage,RRC,0.04,0.04,0.306138400519152,0.306
64571,First stage,RRC,0.05,0.04,0.305477953328122,0.305
64571,First stage,RRC,0.1,0.04,0.299252040172108,0.299
64571,First stage,RRC,0,0.05,0.310595602374542,0.311
64571,First stage,RRC,0.01,0.05,0.309481024260598,0.309
64571,First stage,RRC,0.02,0.05,0.308549848862852,0.309
64571,First stage,RRC,0.03,0.05,0.30740152244687,0.307
64571,First stage,RRC,0.04,0.05,0.306617632167276,0.307
64571,First stage,RRC,0.05,0.05,0.305987796950599,0.306
64571,First stage,RRC,0.1,0.05,0.299712469222067,0.3
64571,First stage,RRC,0,0.1,0.310721218103629,0.311
64571,First stage,RRC,0.01,0.1,0.30979536321599,0.31
64571,First stage,RRC,0.02,0.1,0.309153918503898,0.309
64571,First stage,RRC,0.03,0.1,0.308084439845073,0.308
64571,First stage,RRC,0.04,0.1,0.307517106219174,0.308
64571,First stage,RRC,0.05,0.1,0.307019111941111,0.307
64571,First stage,RRC,0.1,0.1,0.300818695477171,0.301
64571,Second stage,RRC,0,0,0.303296992323333,0.303
64571,Children,RRC,0,0,0.303296992323333,0.303
