instru,n,child_rank,family_rank,coef,se,boot_se
+ 2digit occ.,399,40.8822055137845,9,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,605,42.196694214876,13,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,606,45.6171617161716,24,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,608,39.9671052631579,4,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,610,45.9901639344262,33,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,610,45.5606557377049,36,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,611,36.6972176759411,5,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,612,37.8562091503268,2,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,618,44.4174757281553,27,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,621,42.4653784219002,18,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,626,50.5159744408946,62,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,627,43.5789473684211,14,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,628,49.6369426751592,54,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,629,47.6009538950715,44,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,632,59.1756329113924,81,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,635,41.6755905511811,15,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,635,45.259842519685,21,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,635,61.503937007874,85,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,636,44.6037735849057,29,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,637,51.7676609105181,57,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,638,47.6943573667712,42,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,638,51.7648902821317,51,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,638,54.2021943573668,67,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,638,69.4717868338558,98,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,639,46.1971830985916,22,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,639,46.6071987480438,40,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,639,62.491392801252,91,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,640,48.5859375,50,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,640,60.3640625,93,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,640,64.803125,94,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,641,53.6302652106084,68,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,642,43.8489096573209,26,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,642,46.006230529595,39,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,642,47.2757009345795,46,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,642,53.1339563862928,70,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,642,62.5638629283489,88,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,642,68.5856697819315,96,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,643,60.4323483670296,83,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,644,56.9549689440994,74,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,644,58.3447204968944,78,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,645,48.8,37,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,645,53.6403100775194,72,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,645,56.8294573643411,76,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,646,46.8668730650155,48,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,646,47.9334365325077,49,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,646,50.8869969040248,60,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,646,53.0123839009288,64,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,646,54.4303405572756,66,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,646,54.1749226006192,73,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,646,57.343653250774,77,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,646,58.4984520123839,79,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,646,71.9071207430341,99,0.295557237699431,0.00376043509068456,0.00408004181248033
