n,dep,rank_dep,family_log_income_n,household_log_income
14,63,32,8.55504961523525,10.3118936702679
19,56,30,10.4540459454263,11.0748086681043
20,6,18,9.39186176270166,10.584348965598
24,35,23,9.07502457765148,10.2548391610707
24,63,32,9.06070812005256,10.0454311229285
24,83,22,10.4424935649108,11.1175888098782
25,63,32,9.99133468901006,10.7249679173249
26,29,21,9.05673024297807,10.2023879302524
26,31,20,9.39343977819183,10.6105002495616
26,14,31,10.4508857300491,11.1437167038019
27,14,31,9.07786337837541,10.2858474441504
27,63,32,9.15961558090798,10.4369328975138
27,31,20,9.23048825028298,10.5126626957162
27,34,24,9.39243937084517,10.3179382019648
27,63,32,9.48909376148607,10.303139772289
27,68,29,9.50237494238031,10.3065969257215
27,42,25,10.4225545849075,10.6872498296751
28,14,31,10.2698888675148,10.8196075380794
28,63,32,10.2582591891874,10.7234826066735
28,68,29,10.5055055154156,10.9370306579043
28,63,32,10.4681580919307,10.7739840749934
29,56,30,9.158113029355,10.0550349289558
29,6,18,9.16834637669164,10.1807905230792
29,29,21,9.22804786082028,10.0204487180986
29,63,32,9.34485588091832,10.4241065911833
29,54,27,9.56253531027597,10.5485959382439
29,56,30,10.2292576085113,10.8164662547616
30,56,30,9.04788689951656,10.2188887047301
30,6,18,9.23341592533801,10.2561296784921
30,63,32,9.28262595666282,10.2786847029127
30,6,18,9.3384046250308,10.53750579071
30,34,24,9.55448964404745,10.3175210373579
30,83,22,10.2445573819015,10.7921455367237
30,57,17,10.4638288234043,11.0170569669633
30,49,28,10.4442998285995,10.7164368858323
30,56,30,9.8247018126712,10.6818238108542
31,34,24,9.17212743656612,10.1828093422748
31,63,32,9.64027574731785,10.4477476322389
31,54,27,10.4884097277681,11.1167873897224
31,29,21,10.438143649162,10.8599604303585
32,68,29,9.23106973073364,10.40572880002
32,63,32,9.22606140656115,10.4354924883039
32,83,22,9.29270284229206,10.3331633232186
32,34,24,9.28976365911652,10.0029645907539
32,34,24,9.34522367066902,10.4366317009988
32,83,22,9.38849700920694,10.1721187580081
32,63,32,9.60642490587096,10.4136875330495
32,83,22,9.83208752571356,10.4862303265075
32,14,31,9.88891799017688,10.8656425100739
33,94,10,8.71445976034209,10.2620310664202
33,56,30,8.67043833289897,10.2971592314729
33,31,20,9.05021136390724,9.54236200967459
33,75,2,9.44796864637208,10.594926464615
33,63,32,9.44259196818982,9.98459267042943
