n,family_rank,child_edu
642,1,0.210922787193974
643,34,0.345679012345679
643,67,0.5
644,4,0.304114490161002
644,7,0.333969465648855
644,11,0.303030303030303
644,17,0.325259515570934
644,31,0.353046594982079
644,44,0.362038664323374
644,47,0.391608391608392
644,51,0.450606585788562
644,54,0.48885077186964
644,57,0.48951048951049
644,61,0.469858156028369
644,81,0.658135283363803
644,84,0.685454545454545
644,94,0.790291262135922
644,97,0.787524366471735
645,2,0.260707635009311
645,8,0.277985074626866
645,13,0.298769771528998
645,14,0.293193717277487
645,16,0.313380281690141
645,21,0.287958115183246
645,22,0.316608996539792
645,26,0.282186948853616
645,27,0.329749103942652
645,29,0.352112676056338
645,35,0.362847222222222
645,37,0.369527145359019
645,38,0.371134020618557
645,41,0.404217926186292
645,43,0.380035026269702
645,49,0.43630017452007
645,52,0.40630472854641
645,58,0.491319444444445
645,63,0.522222222222222
645,64,0.458110516934046
645,66,0.5
645,72,0.537070524412297
645,74,0.624778761061947
645,76,0.583032490974729
645,79,0.674588665447898
645,85,0.745794392523365
645,87,0.723484848484849
645,88,0.745387453874539
645,91,0.757115749525617
645,93,0.777365491651206
645,99,0.806451612903226
646,3,0.244485294117647
646,5,0.286266924564797
646,9,0.321495327102804
646,15,0.294320137693632
646,19,0.299145299145299
646,20,0.304964539007092
646,23,0.351819757365685
646,25,0.312937062937063
646,28,0.297723292469352
646,32,0.319516407599309
646,33,0.368421052631579
646,39,0.384201077199282
646,40,0.421146953405018
646,45,0.415492957746479
646,46,0.439716312056738
646,55,0.481099656357388
646,56,0.469534050179211
646,62,0.509666080843585
646,68,0.561497326203209
646,69,0.515044247787611
646,70,0.517605633802817
646,73,0.571942446043166
646,75,0.597426470588235
646,78,0.642477876106195
646,82,0.669104204753199
646,86,0.720588235294118
646,90,0.753246753246753
646,92,0.789674952198853
646,96,0.822641509433962
646,98,0.824902723735409
647,10,0.278481012658228
647,24,0.340753424657534
647,60,0.474516695957821
647,71,0.548780487804878
647,77,0.614564831261101
647,80,0.613756613756614
648,6,0.296153846153846
648,12,0.27787610619469
648,18,0.304273504273504
648,36,0.401032702237522
648,42,0.352530541012216
648,48,0.461811722912966
648,53,0.486865148861646
648,59,0.498281786941581
648,65,0.508741258741259
648,83,0.689013035381751
648,89,0.752788104089219
648,95,0.780534351145038
649,30,0.402397260273973
649,50,0.398230088495575
652,100,0.792452830188679
