sample,age,estimate,group,n,coef,se,df,boot_se
All Employee Panel,30,IGE,IGE/RRC,51800,0.389017017432561,0.0097404871566583,51789,0.0114489468983281
All Employee Panel,30,RRC,IGE/RRC,51808,0.247685100836473,0.00425694870053211,51797,0.00453812441014494
All Employee Panel,30,TM,Bot->Bot,51808,0.270612087275536,,,0.00430822938442291
All Employee Panel,30,TM,Bot->Top,51808,0.100695114887044,,,0.00332747893361458
All Employee Panel,30,TM,Top->Bot,51808,0.144621321755909,,,0.00325351024646369
All Employee Panel,30,TM,Top->Top,51808,0.372986010612639,,,0.00430954584417234
All Employee Panel,31,IGE,IGE/RRC,51789,0.416738137233681,0.00997899924098227,51778,0.0124183680940376
All Employee Panel,31,RRC,IGE/RRC,51799,0.25602221228871,0.00424779933160019,51788,0.00458990964754955
All Employee Panel,31,TM,Bot->Bot,51799,0.274843070980203,,,0.00430809133547533
All Employee Panel,31,TM,Bot->Top,51799,0.0989859971028489,,,0.00318967975067363
All Employee Panel,31,TM,Top->Bot,51799,0.137205712080278,,,0.00326234072587846
All Employee Panel,31,TM,Top->Top,51799,0.375723658818989,,,0.00425072848476815
All Employee Panel,32,IGE,IGE/RRC,52016,0.407704284766924,0.00994374969178378,52005,0.0121107877518447
All Employee Panel,32,RRC,IGE/RRC,52029,0.252244811980586,0.00424272815280761,52018,0.00454858341462688
All Employee Panel,32,TM,Bot->Bot,52029,0.268313785810421,,,0.00434915901719137
All Employee Panel,32,TM,Bot->Top,52029,0.101999615458566,,,0.00318445529107433
All Employee Panel,32,TM,Top->Bot,52029,0.140044184036116,,,0.0033723622505636
All Employee Panel,32,TM,Top->Top,52029,0.36855249255595,,,0.00421757585199562
All Employee Panel,33,IGE,IGE/RRC,52691,0.413338891617075,0.00965410562449512,52680,0.0120582197302817
All Employee Panel,33,RRC,IGE/RRC,52700,0.253456666077021,0.00421426592058689,52689,0.00458780742624304
All Employee Panel,33,TM,Bot->Bot,52700,0.273823082763857,,,0.00403853528048579
All Employee Panel,33,TM,Bot->Top,52700,0.100227790432802,,,0.00313254543795878
All Employee Panel,33,TM,Top->Bot,52700,0.141231148629422,,,0.0034347344563538
All Employee Panel,33,TM,Top->Top,52700,0.368490941857156,,,0.00418886007850826
All Employee Panel,34,IGE,IGE/RRC,52697,0.42141181015401,0.00956043773928181,52686,0.0121909136389138
All Employee Panel,34,RRC,IGE/RRC,52708,0.256682290451759,0.00421023386089387,52697,0.00462639811711898
All Employee Panel,34,TM,Bot->Bot,52708,0.275289428734105,,,0.00419135497683164
All Employee Panel,34,TM,Bot->Top,52708,0.102486240273297,,,0.003163231889033
All Employee Panel,34,TM,Top->Bot,52708,0.138264580369844,,,0.00318033202209157
All Employee Panel,34,TM,Top->Top,52708,0.37430061640588,,,0.00408953190434956
All Employee Panel,35,IGE,IGE/RRC,47427,0.391815261119252,0.0100837837825636,47417,0.0122082746831136
All Employee Panel,35,RRC,IGE/RRC,47430,0.254886659684066,0.00444050264131782,47420,0.00472880843246634
All Employee Panel,35,TM,Bot->Bot,47430,0.268164083096067,,,0.00415742102412028
All Employee Panel,35,TM,Bot->Top,47430,0.10365917958452,,,0.00337868319091533
All Employee Panel,35,TM,Top->Bot,47430,0.141201264488936,,,0.00343073984646927
All Employee Panel,35,TM,Top->Top,47430,0.370284510010537,,,0.00441152378275436
All Employee Panel,36,IGE,IGE/RRC,41803,0.39907638338594,0.0107037531174738,41794,0.0128957471667932
All Employee Panel,36,RRC,IGE/RRC,41812,0.255235951756992,0.00472898641685697,41803,0.00480484785918777
All Employee Panel,36,TM,Bot->Bot,41812,0.270247637277186,,,0.00440076347020636
All Employee Panel,36,TM,Bot->Top,41812,0.107189855245843,,,0.00359976279724127
All Employee Panel,36,TM,Top->Bot,41812,0.138281343372774,,,0.00363272871463008
All Employee Panel,36,TM,Top->Top,41812,0.373371578821561,,,0.00465599565248441
All Employee Panel,37,IGE,IGE/RRC,36296,0.421793080445814,0.0112763040124042,36288,0.0134882158537821
All Employee Panel,37,RRC,IGE/RRC,36302,0.263449034737411,0.005063630667964,36294,0.00514040546943958
All Employee Panel,37,TM,Bot->Bot,36302,0.276522457977404,,,0.00472330815074348
All Employee Panel,37,TM,Bot->Top,36302,0.102369798842656,,,0.0039615903775304
All Employee Panel,37,TM,Top->Bot,36302,0.136820371644873,,,0.0039182778185772
All Employee Panel,37,TM,Top->Top,36302,0.377701307639367,,,0.00509759851894997
All Employee Panel,38,IGE,IGE/RRC,31314,0.393054742554345,0.0122660970907273,31307,0.0145505129069237
All Employee Panel,38,RRC,IGE/RRC,31317,0.256458991275859,0.00546235494710538,31310,0.0056291124324971
All Employee Panel,38,TM,Bot->Bot,31317,0.270404088803705,,,0.00526161417506072
All Employee Panel,38,TM,Bot->Top,31317,0.104935313847628,,,0.00443323951687859
All Employee Panel,38,TM,Top->Bot,31317,0.137408234918608,,,0.00422787581026136
All Employee Panel,38,TM,Top->Top,31317,0.378391318225343,,,0.00539973052419119
All Employee Panel,39,IGE,IGE/RRC,26135,0.425569457336605,0.0131345485611171,26129,0.0156983017557443
All Employee Panel,39,RRC,IGE/RRC,26139,0.272077847595193,0.00595249517392228,26133,0.00626727966900026
All Employee Panel,39,TM,Bot->Bot,26139,0.275215311004785,,,0.00557624390472113
All Employee Panel,39,TM,Bot->Top,26139,0.103349282296651,,,0.00456066824220305
All Employee Panel,39,TM,Top->Bot,26139,0.132122370936903,,,0.00454642791665285
All Employee Panel,39,TM,Top->Top,26139,0.378011472275335,,,0.00579548583257028
All Employee Panel,40,IGE,IGE/RRC,21142,0.413063741759879,0.0144443905393891,21137,0.0171885918559371
All Employee Panel,40,RRC,IGE/RRC,21146,0.268591946968415,0.00662485701029218,21141,0.00707430386972861
All Employee Panel,40,TM,Bot->Bot,21146,0.277028625502721,,,0.00647157174757132
All Employee Panel,40,TM,Bot->Top,21146,0.104329311568488,,,0.00494856505077796
