family_dep_rank,mobility,child_dep_rank
1,1,34.1527777777778
1,0,34.8838709677419
26,1,49.5818181818182
51,1,51.8636363636364
11,1,40.6428571428572
2,1,42.344262295082
8,1,39.258064516129
9,1,42.3684210526316
13,1,45.0575916230367
7,1,39.1554404145078
18,1,51.6134020618557
5,1,42.8172588832487
21,1,46.5678391959799
14,1,44.095
15,1,49.3152709359606
19,1,44.1674876847291
4,1,41.3398058252427
33,1,53.378640776699
17,1,51.7004830917874
6,1,37.7644230769231
27,1,48.7751196172249
37,1,52.9617224880383
31,1,46.2392344497608
22,1,49.2322274881517
10,1,45.0424528301887
41,1,52.4131455399061
99,0,65.1682242990654
12,1,44.2139534883721
23,1,49.6438356164384
28,1,50.3424657534247
3,1,44.4035874439462
16,1,43.1894273127753
49,1,52.6578947368421
32,1,48.6768558951965
29,1,49.7554585152838
76,1,57.3852813852814
64,1,55.3549783549784
24,1,44.4741379310345
56,1,52.480686695279
30,1,49.1752136752137
42,1,51.7617021276596
61,1,53.7787234042553
43,1,53.2340425531915
20,1,49.4683544303798
44,1,50.2194092827004
34,1,49.0672268907563
35,1,51.1050420168067
38,1,47.0912863070539
45,1,51.5785123966942
39,1,48.3471074380165
51,0,46.7119341563786
52,1,48.6872427983539
54,1,52.9094650205761
46,1,50.2880658436214
55,1,55.0573770491803
47,1,53.1174089068826
53,1,53.383064516129
40,1,50.8964143426295
36,1,50.8452380952381
96,0,63.0355731225296
57,1,56.5335968379447
66,1,59.109375
97,0,63.969111969112
25,1,49.9692307692308
98,0,63.9386973180077
63,1,51.6679389312977
58,1,56.8479087452472
48,1,49.6052631578947
94,0,58.6133828996283
59,1,51.4888888888889
92,0,60.6290909090909
68,1,57.4
69,1,54.1942446043166
81,0,57.0678571428572
71,1,55.2455516014235
67,1,57.3120567375887
73,1,58.258865248227
81,1,61.2375886524823
65,1,57.9290780141844
74,1,60.0774647887324
93,0,59.3216783216783
83,1,62.4359861591696
88,0,61.4896551724138
62,1,54.8047945205479
89,0,60.8184931506849
77,1,57.9183673469388
60,1,53.3186440677966
91,0,60.6587837837838
79,1,58.5690235690236
70,1,57.8456375838926
86,0,59.2441471571906
76,0,51.3010033444816
78,1,58.0830564784053
87,1,59.9652996845426
95,0,61.5094339622642
84,1,63.0125786163522
86,1,62.816199376947
61,0,51.1455108359133
71,0,52.8142414860681
87,0,59.969040247678
91,1,65.0433436532508
82,1,63.5216049382716
72,1,57.3292307692308
83,0,60.0214067278288
82,0,58.1463414634146
85,0,58.0179640718563
75,1,56.2035928143713
85,1,61.4910714285714
78,0,54.1563421828909
90,0,61.9410029498525
72,0,54.7126099706745
90,1,62.7046783625731
88,1,61.7755102040816
69,0,54.1184971098266
79,0,53.0315186246418
77,0,56.4330484330484
50,1,53.4488636363636
74,0,55.3597733711048
73,0,54.1359773371105
80,1,63.2853107344633
26,0,44.943661971831
84,0,60.3638888888889
66,0,51.3833333333333
96,1,65.01108033241
93,1,63.7734806629834
92,1,66.5414364640884
59,0,51.7459016393443
94,1,64.8005464480874
21,0,42.3324250681199
68,0,53.7683923705722
41,0,47.1707317073171
62,0,51.6972972972973
89,1,62.8594594594595
95,1,63.545945945946
98,1,65.8506666666667
49,0,46.4906666666667
99,1,66.2393617021277
80,0,55.6984126984127
52,0,49.2789473684211
37,0,44.8215223097113
55,0,51.9348958333333
64,0,52.9921875
67,0,52.140625
58,0,51.1136950904393
97,1,66.8139534883721
63,0,52.6214833759591
45,0,45.7525510204082
53,0,50.7379134860051
46,0,48.5631313131313
70,0,52.8391959798995
31,0,45.2330827067669
48,0,47.97
65,0,51.8625
42,0,47.0174563591023
56,0,50.4554455445545
57,0,50.0197530864198
47,0,47.5049019607843
2,0,33.119512195122
28,0,42.9391727493917
43,0,46.0169902912621
3,0,35.4296116504854
35,0,44.8377723970944
33,0,45.6464891041162
39,0,45.8309178743961
11,0,38.7253012048193
36,0,46.0409638554217
32,0,44.7601918465228
23,0,43.63723150358
54,0,49.527446300716
13,0,39.5333333333333
38,0,46.8809523809524
44,0,49.0214285714286
9,0,38.9642857142857
100,0,67.0756501182033
18,0,44.1910377358491
27,0,45.8376470588235
34,0,42.9511627906977
14,0,46.3805104408353
75,0,53.338747099768
5,0,37.4375
24,0,44.70207852194
16,0,42.1464530892449
7,0,36.4187643020595
22,0,43.9863945578231
29,0,43.2364864864865
6,0,37.2117117117117
19,0,43.2426966292135
17,0,41.4498886414254
60,0,52.7050997782705
15,0,39.7538461538462
30,0,45.5873362445415
4,0,35.4632034632035
12,0,40.771186440678
40,0,45.2552742616034
8,0,35.2331288343558
20,0,43.8020408163265
25,0,45.5760649087221
10,0,41.2961460446248
50,0,50.1970802919708
100,1,67.5577689243028
